x,Cf,Cf_theory
0.0159695,0.000521161,0.000856897
0.0162521,0.00071871,0.000849413
0.0165348,0.000506652,0.000842122
0.0168174,0.000583991,0.000835016
0.0171001,0.000582406,0.000828086
0.0173827,0.000670241,0.000821326
0.0176653,0.00048409,0.000814729
0.017948,0.000635799,0.000808288
0.0182306,0.000475632,0.000801998
0.0185133,0.00064069,0.000795852
0.0187959,0.000504344,0.000789846
0.0190786,0.000703416,0.000783973
0.0193612,0.00051774,0.00077823
0.0196439,0.000656765,0.000772611
0.0199265,0.000505694,0.000767112
0.0202092,0.000501833,0.000761728
0.0204918,0.00047626,0.000756457
0.0207744,0.000664725,0.000751293
0.0210571,0.000506831,0.000746234
0.0213397,0.000695404,0.000741275
0.0216224,0.000543345,0.000736415
0.021905,0.000769187,0.000731648
0.0221877,0.000583045,0.000726973
0.0224703,0.000702917,0.000722386
0.022753,0.000588253,0.000717885
0.0230356,0.00045855,0.000713468
0.0233183,0.000618281,0.00070913
0.0236009,0.000500548,0.000704871
0.0238836,0.000716394,0.000700688
0.0241662,0.000540394,0.000696578
0.0241667,3.34419e-05,0.000696572
0.0244488,0.000697961,0.00069254
0.0247315,0.000496395,0.000688572
0.0250141,0.0006794,0.00068467
0.0252968,0.000931113,0.000680834
0.0255794,0.000631194,0.000677063
0.0258621,0.00060226,0.000673353
0.0261447,0.000600527,0.000669703
0.0264274,0.000539486,0.000666112
0.02671,0.000661406,0.000662578
0.0269927,0.00058418,0.0006591
0.0272753,0.000455595,0.000655676
0.0275579,0.000618827,0.000652305
0.0278406,0.000526453,0.000648985
0.0281232,0.000774866,0.000645716
0.0284059,0.000661855,0.000642495
0.0286885,0.000596651,0.000639323
0.0289712,0.00054293,0.000636196
0.0292538,0.000595673,0.000633115
0.0295365,0.000616972,0.000630079
0.0298191,0.000537419,0.000627086
0.0301018,0.000764457,0.000624135
0.0303844,0.000570845,0.000621225
0.030667,0.000732837,0.000618355
0.0309497,0.000487929,0.000615525
0.0312323,0.000500961,0.000612734
0.031515,0.00071845,0.00060998
0.0317976,0.000522698,0.000607263
0.0320803,0.000581105,0.000604582
0.0323629,0.000579509,0.000601936
0.0325,4.34367e-05,0.000600665
0.0326456,0.00071877,0.000599325
0.0329282,0.000645088,0.000596747
0.0332109,0.000710502,0.000594202
0.0334935,0.000931703,0.00059169
0.0337761,0.000738946,0.000589209
0.0340588,0.000712876,0.000586759
0.0343414,0.000630356,0.000584339
0.0346241,0.000505457,0.000581949
0.0349067,0.000631023,0.000579588
0.0351894,0.000509218,0.000577256
0.035472,0.000565907,0.000574951
0.0357547,0.000564367,0.000572674
