Step, Residual_VM
1559, 455.962
1560, 455.546
1561, 454.726
1562, 454.155
1563, 454.537
1564, 453.795
1565, 452.578
1566, 452.646
1567, 452.479
1568, 451.483
1569, 450.844
1570, 451.178
1571, 450.572
1572, 449.839
1573, 449.391
1574, 448.89
1575, 449.136
1576, 448.121
1577, 447.583
1578, 447.478
1579, 446.905
1580, 446.698
1581, 446.072
1582, 445.413
1583, 445.151
1584, 444.8
1585, 444.31
1586, 443.871
1587, 442.955
1588, 442.329
1589, 442.782
1590, 441.705
1591, 441.247
1592, 440.872
1593, 440.128
1594, 440.231
1595, 439.37
1596, 439.396
1597, 438.649
1598, 437.581
1599, 438.237
1600, 437.525
1601, 436.413
1602, 436.166
1603, 436.154
1604, 435.299
1605, 434.56
1606, 434.838
1607, 434.312
1608, 433.749
1609, 433.657
1610, 432.987
1611, 432.557
1612, 432.018
1613, 431.886
1614, 431.313
1615, 430.978
1616, 430.096
1617, 429.474
1618, 429.862
1619, 428.958
1620, 428.458
1621, 428.141
1622, 427.48
1623, 427.744
1624, 426.697
1625, 426.181
1626, 425.657
1627, 425.339
1628, 424.93
1629, 424.347
1630, 424.42
1631, 423.484
1632, 423.373
1633, 422.648
1634, 421.837
1635, 422.192
1636, 421.67
1637, 421.165
1638, 420.584
1639, 419.984
1640, 420.345
1641, 419.497
1642, 418.917
1643, 418.82
1644, 418.408
1645, 418.214
1646, 417.501
1647, 416.922
1648, 416.74
1649, 416.455
1650, 415.77
1651, 415.574
1652, 414.665
1653, 413.919
1654, 414.484
1655, 413.601
1656, 413.043
1657, 412.678
1658, 411.994
1659, 412.265
1660, 411.351
1661, 411.136
1662, 410.697
1663, 409.879
1664, 410.022
1665, 409.641
1666, 409.231
1667, 408.594
1668, 408.09
1669, 408.326
1670, 407.724
1671, 406.732
1672, 406.652
1673, 406.648
1674, 405.693
1675, 405.179
1676, 405.455
1677, 404.919
1678, 404.301
1679, 403.951
1680, 403.455
1681, 403.696
1682, 402.781
1683, 402.414
1684, 402.306
1685, 401.787
1686, 401.535
1687, 401.056
1688, 400.508
1689, 400.102
1690, 400.001
1691, 399.497
1692, 399.159
1693, 399.06
1694, 398.313
1695, 398.117
1696, 397.795
1697, 397.041
1698, 396.759
1699, 396.29
1700, 396.348
1701, 395.485
1702, 395.278
1703, 394.921
1704, 394.231
1705, 394.216
1706, 393.89
1707, 393.526
1708, 392.901
1709, 392.456
1710, 392.627
1711, 392.176
1712, 391.218
1713, 391.094
1714, 391.131
1715, 390.258
1716, 389.749
1717, 389.943
1718, 389.539
1719, 388.898
1720, 388.541
1721, 388.176
1722, 388.31
1723, 387.525
1724, 386.916
1725, 386.706
1726, 386.525
1727, 385.771
1728, 385.414
1729, 385.7
1730, 384.83
1731, 384.379
1732, 384.242
1733, 383.701
1734, 383.66
1735, 383.017
1736, 382.559
1737, 382.164
1738, 381.954
1739, 381.585
1740, 381.061
1741, 381.159
1742, 380.354
1743, 380.281
1744, 379.679
1745, 379.063
1746, 379.195
1747, 378.829
1748, 377.92
1749, 377.724
1750, 377.655
1751, 377.084
1752, 376.554
1753, 376.482
1754, 376.189
1755, 375.684
1756, 375.793
1757, 375.005
1758, 374.727
1759, 374.39
1760, 374.228
1761, 373.578
1762, 373.48
1763, 372.865
1764, 372.073
1765, 372.491
1766, 371.931
1767, 371.429
1768, 371.156
1769, 370.575
